분류	운동을 할 충분한 시간이 없어서	함께 운동을 할 사람이 없어서	운동을 할 만한 장소가 없어서	운동을 싫어해서	운동을 할 충분한 비용이 없어서	기타
종로구	62.2	0.4	9.4	25.9	2.1	-
중구	50.3	3.0	7.7	25.7	7.6	5.7
용산구	48.9	7.5	4.9	32.6	2.7	3.4
성동구	46.5	4.3	5.7	34.2	8.7	0.6
광진구	42.0	5.7	3.0	43.5	5.8	-
동대문구	44.5	4.5	2.7	41.9	6.2	0.1
중랑구	46.7	2.2	6.8	32.8	10.9	0.5
성북구	33.3	3.4	2.6	58.0	2.0	0.7
강북구	21.3	5.3	3.4	68.1	1.9	-
도봉구	52.0	3.2	6.2	30.8	7.6	0.3
노원구	56.3	1.6	2.7	30.1	1.9	7.4
은평구	42.7	8.8	7.3	34.3	6.4	0.5
서대문구	69.8	0.8	1.2	21.9	5.3	1
마포구	46.6	8.1	4.7	35.8	3.2	1.5
양천구	66.2	5.7	5.9	17.9	4.1	0.1
강서구	38.5	3.8	1.9	50.5	4.3	1
구로구	45.3	5.7	5.8	39.0	2.9	1.3
금천구	53.6	2.4	2.3	37.6	2.3	1.7
영등포구	50.2	6.7	3.8	33.9	5.4	-
동작구	39.1	13.9	8.4	31.1	7.6	-
관악구	44.4	8.8	5.5	34.2	6.1	1
서초구	49.9	4.3	4.1	36.6	3.3	1.8
강남구	40.7	4.2	2.0	46.4	5.2	1.6
송파구	47.6	5.0	2.3	39.4	4.8	1
강동구	47.0	5.2	4.8	32.4	8.4	2.3
